Wall time,Step,Value
1582143001.0891156,27293,31.0
1582143003.205652,27331,36.0
1582143004.3273666,27361,29.0
1582143006.4424417,27395,32.0
1582143008.5580423,27437,40.0
1582143010.663129,27471,32.0
1582143011.7849176,27508,36.0
1582143014.893478,27557,46.0
1582143017.0016773,27597,38.0
1582143019.1166904,27644,45.0
1582143021.2265856,27691,45.0
1582143023.337648,27738,45.0
1582143026.439493,27791,50.0
1582143028.547319,27838,45.0
1582143030.6485338,27881,41.0
1582143033.7633817,27932,48.0
1582143036.876125,27994,59.0
1582143038.9848337,28037,41.0
1582143041.0958018,28089,50.0
1582143044.2050683,28142,50.0
1582143046.3105128,28197,53.0
1582143049.4182577,28245,45.0
1582143051.5343325,28292,45.0
1582143053.641668,28342,48.0
1582143055.7554755,28389,45.0
1582143057.8568227,28432,41.0
1582143060.969833,28476,41.0
1582143064.0970998,28539,60.0
1582143066.2102253,28586,45.0
1582143067.322475,28616,29.0
1582143070.4204674,28672,53.0
1582143073.5268643,28737,62.0
1582143076.6421309,28793,53.0
1582143079.7471783,28866,70.0
1582143082.851565,28926,57.0
1582143084.961744,28969,41.0
1582143088.0645025,29022,50.0
1582143090.1744041,29077,53.0
1582143093.268545,29130,50.0
1582143095.3858995,29170,38.0
1582143097.4940963,29225,53.0
1582143100.5962877,29278,50.0
1582143102.7070582,29333,53.0
1582143104.8246684,29375,40.0
1582143107.9275706,29439,61.0
1582143113.0415049,29529,85.0
1582143117.1394563,29610,77.0
1582143120.2489536,29682,69.0
1582143125.3550959,29797,110.0
1582143128.464193,29853,53.0
1582143134.5567772,29980,121.0
1582143189.496355,31141,1106.0
1582143195.584645,31256,109.0
1582143200.675776,31355,94.0
1582143219.7003098,31767,393.0
1582143252.864418,32461,661.0
1582143267.0067525,32748,273.0
1582143277.1989737,32951,193.0
1582143296.2158241,33348,378.0
1582143315.3174443,33757,390.0
1582143319.427616,33834,73.0
1582143323.5381134,33926,88.0
1582143327.6504488,34000,70.0
1582143330.7551732,34069,66.0
1582143333.8636096,34140,68.0
1582143337.9721787,34212,68.0
1582143341.0861847,34277,62.0
1582143344.1983142,34337,57.0
1582143347.330376,34399,59.0
1582143349.440415,34459,58.0
1582143352.5474608,34518,56.0
1582143355.6623745,34583,62.0
1582143358.7701745,34640,54.0
1582143360.8837504,34683,41.0
1582143364.00096,34741,55.0
1582143366.122869,34787,44.0
1582143368.231507,34830,41.0
1582143371.3365257,34894,61.0
1582143374.4355955,34957,60.0
1582143377.537106,35018,58.0
1582143379.650912,35060,40.0
1582143381.7644923,35106,44.0
1582143384.864112,35164,55.0
1582143387.972092,35222,55.0
1582143391.099532,35283,58.0
